"BPBM","genus","species","svl","finger","toe","ft","anterior","posterior","ap","reference","fpadtpad","palate","toe_length","toe_webbing","IO_space","tympanum","teeth","two_palate_folds","pupil_horizontal","pectoral_type","call_type","gensp"
20506,"Auparoparo","meliades",18.48,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,0,0,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_meliades"
20512,"Auparoparo","meliades",17.13,NA,NA,NA,NA,NA,NA,"",3,1,FALSE,0,0,2,FALSE,TRUE,TRUE,"ligamentous","whinny","Auparoparo_meliades"
20524,"Oreophryne","aurora",24.35,NA,NA,NA,NA,NA,NA,"Kraus_2016",0,0,FALSE,1,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_aurora"
20525,"Oreophryne","aurora",25.07,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,2,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_aurora"
20526,"Oreophryne","aurora",22.57,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_aurora"
20528,"Oreophryne","aurora",21.91,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,2,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_aurora"
20530,"Oreophryne","aurora",24.75,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_aurora"
20567,"Oreophryne","philosylleptoris",20.85,NA,NA,NA,NA,NA,NA,"",1,0,FALSE,1,0,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_philosylleptoris"
20574,"Oreophryne","philosylleptoris",23.58,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_philosylleptoris"
20577,"Oreophryne","philosylleptoris",24.79,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_philosylleptoris"
22359,"Oreophryne","loriae",24.7,1.859726685,1.657267011,1.122164789,2.634304959,1.754861353,1.501147059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_loriae"
22511,"Oreophryne","brachypus",23.94,NA,NA,NA,NA,NA,NA,"",1,0,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_brachypus"
22521,"Oreophryne","brachypus",23.29,NA,NA,NA,NA,NA,NA,"Zweifel_2003",0,0,FALSE,2,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_brachypus"
22528,"Oreophryne","brachypus",25.91,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,1,0,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_brachypus"
22534,"Oreophryne","brachypus",22.05,NA,NA,NA,NA,NA,NA,"",0,0,FALSE,1,1,1,FALSE,TRUE,TRUE,"ligamentous","other","Oreophryne_brachypus"
22537,"Oreophryne","loriae",25,1.776862992,1.585277433,1.120853016,2.590564972,2.074293785,1.248890099,"",0,0,FALSE,2,2,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_loriae"
22538,"Oreophryne","loriae",22.7,1.546710307,1.437399938,1.07604729,1.687047288,1.236507592,1.364364683,"Kraus_2016",0,0,FALSE,3,1,2,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_loriae"
